,index,id,mssubclass,mszoning,lotfrontage,lotarea,lotshape,landcontour,lotconfig,landslope,neighborhood,condition1,bldgtype,housestyle,overallqual,overallcond,yearbuilt,roofstyle,masvnrtype,masvnrarea,exterqual,foundation,bsmtqual,bsmtexposure,bsmtfintype1,bsmtfinsf1,bsmtunfsf,heatingqc,grlivarea,bsmtfullbath,fullbath,halfbath,bedroomabvgr,kitchenabvgr,kitchenqual,functional,fireplaces,fireplacequ,garagetype,garagefinish,garagearea,garagecond,wooddecksf,mosold,yrsold,saleprice,porchpres,poolpres,garagepres,fireplacepres,masvnrpres,bsmtpres,shedpres,exterior,age_sold,remodelled,2ndfloorpres,bighouse
0,0,109,60,RL,5.968980585391403,21.101397693396365,0.7304631471189666,Lvl,CulDSac,flat,Sawyer,RRAe,1Fam,2Story,6,2.6025944687727294,14.145138012244155,Gable,BrkFace,8.93850105069204,1.8203341036428238,CBlock,1.5409627556327752,0.7304631471189666,GLQ,10.43505876286156,8.013883697367245,2.055641538058108,13.26061219071665,0.0,2,0.7304631471189666,1.5409627556327752,0.7304631471189666,1.8203341036428238,Typ,0.0,0,Attchd,RFn,475.0,TA,0.0,1.5409627556327752,2010,32.35005871621365,1,0,1,0,1,1,0,Wood,4.697012078927853,1.0,1,0.0
1,1,544,60,RL,5.093856518007759,20.433611706113187,0.7304631471189666,Lvl,CulDSac,flat,SawyerW,Norm,1Fam,2Story,7,2.055641538058108,14.176583960216393,Gable,BrkFace,7.216434458396561,1.8203341036428238,PConc,1.8203341036428238,0.7304631471189666,GLQ,10.897673633652223,8.831513536945508,2.055641538058108,14.368755869702138,0.7304631471189666,2,0.7304631471189666,1.8203341036428238,0.7304631471189666,1.8203341036428238,Typ,0.7304631471189666,3,Attchd,RFn,559.0,TA,0.0,1.8203341036428238,2009,35.52944560366787,1,0,1,1,1,1,0,Vinyl,3.2377281976988326,1.0,1,0.0
2,2,153,20,RL,5.914940018959451,18.96295464403062,0.0,Lvl,Inside,flat,NAmes,Norm,1Fam,1Story,5,2.440268378362637,14.10863912353132,Gable,None,0.0,1.5409627556327752,CBlock,1.5409627556327752,0.7304631471189666,GLQ,11.26354444890545,9.222126215438918,1.5409627556327752,12.28212806108674,0.7304631471189666,1,0.0,1.5409627556327752,0.7304631471189666,1.8203341036428238,Typ,0.0,0,Detchd,Unf,246.0,TA,0.0,0.7304631471189666,2010,31.31056582488108,1,0,1,0,0,1,0,Vinyl,5.59142712460611,1.0,0,0.0
3,3,318,60,RL,6.047663906109832,19.794719535968905,0.0,Lvl,Inside,flat,Timber,Norm,1Fam,2Story,5,2.055641538058108,14.192206665778837,Gable,None,0.0,1.5409627556327752,PConc,1.8203341036428238,0.7304631471189666,Unf,0.0,9.616086912297321,1.8203341036428238,13.189203207575114,0.0,2,0.7304631471189666,1.5409627556327752,0.7304631471189666,1.5409627556327752,Typ,0.0,0,BuiltIn,Fin,400.0,TA,6.65495044352145,1.8203341036428238,2010,34.070564039720665,0,0,1,0,0,1,0,Vinyl,1.8203341036428238,1.0,1,0.0
4,4,255,50,RL,6.268453117386751,21.317793774779748,0.7304631471189666,Lvl,Inside,flat,SawyerW,Norm,1Fam,1.5Fin,6,2.6025944687727294,14.023122182650834,Gable,None,0.0,1.5409627556327752,PConc,1.1943176378757767,0.7304631471189666,Unf,0.0,11.054693052542088,1.5409627556327752,13.19126376457202,0.0,2,0.0,1.5409627556327752,0.7304631471189666,1.5409627556327752,Typ,0.0,0,Detchd,Unf,484.0,TA,0.0,1.5409627556327752,2010,32.69982182965249,1,0,1,0,0,1,0,Wood,6.844946025203906,1.0,1,0.0
5,5,138,20,RL,7.293500021268775,21.942400002841918,0.7304631471189666,Lvl,Corner,flat,NAmes,PosA,1Fam,1Story,6,2.2596737867230705,14.129313517307915,Gable,None,0.0,1.8203341036428238,CBlock,1.5409627556327752,0.7304631471189666,ALQ,8.576545449247062,10.548208222959307,2.055641538058108,14.003478877877038,0.0,2,0.7304631471189666,1.1943176378757767,0.7304631471189666,1.8203341036428238,Mod,0.7304631471189666,4,Attchd,Fin,578.0,TA,0.0,2.2596737867230705,2010,34.61166383281241,0,0,1,1,0,1,0,Brick,5.133567292834429,1.0,0,0.0
6,6,2827,180,RM,4.745132396064701,16.174330837742275,0.0,Lvl,Inside,flat,Edwards,Norm,TwnhsE,SFoyer,6,2.055641538058108,14.19064737641105,Gable,BrkFace,6.268453117386751,1.5409627556327752,PConc,1.8203341036428238,1.8203341036428238,GLQ,10.501575267176273,0.0,1.8203341036428238,12.322184880517035,0.7304631471189666,2,0.0,1.1943176378757767,0.7304631471189666,1.5409627556327752,Typ,0.0,0,Basment,Fin,525.0,TA,0.0,2.2596737867230705,2006,32.763481734718766,1,0,1,0,1,1,0,Vinyl,0.7304631471189666,1.0,0,0.0
7,7,145,20,RL,6.02174235239564,20.664245987270693,0.7304631471189666,Lvl,Inside,flat,NAmes,Norm,1Fam,1Story,5,2.055641538058108,14.118195633475512,Hip,BrkFace,7.873203454932757,1.5409627556327752,CBlock,1.5409627556327752,0.7304631471189666,Rec,12.125370060953003,7.9678374640434715,1.1943176378757767,12.616840302640687,0.7304631471189666,1,0.0,1.5409627556327752,0.7304631471189666,1.5409627556327752,Typ,0.0,0,Attchd,RFn,531.0,TA,0.0,2.055641538058108,2010,32.84746579303759,0,0,1,0,1,1,0,Wood,5.392276337227255,0.0,0,0.0
8,8,1942,20,RL,5.684506656824126,21.754460759255927,0.0,Lvl,Inside,flat,OldTown,Artery,1Fam,1Story,5,2.055641538058108,14.107043947541124,Gable,None,0.0,1.5409627556327752,CBlock,1.5409627556327752,0.7304631471189666,Rec,8.962610178176034,10.876956792114836,1.5409627556327752,11.904107164106826,0.0,1,0.0,1.1943176378757767,0.7304631471189666,1.5409627556327752,Typ,0.0,0,Detchd,Unf,420.0,TA,0.0,2.2596737867230705,2007,31.491034137710816,1,0,1,0,0,1,1,Wood,5.5270737381589985,0.0,0,0.0
9,9,1956,60,RL,5.968980585391403,20.47376423811207,0.7304631471189666,HLS,Inside,sloped,NAmes,Norm,1Fam,2Story,5,2.055641538058108,14.134068032227582,Gable,BrkFace,8.013883697367245,1.5409627556327752,PConc,1.8203341036428238,1.5409627556327752,Rec,10.950898606258738,9.65390077895301,1.5409627556327752,14.305801939760288,0.0,1,1.1943176378757767,2.055641538058108,0.7304631471189666,1.1943176378757767,Typ,1.1943176378757767,3,Attchd,Unf,504.0,TA,9.286967630227565,2.750250297485029,2007,32.54897167799814,0,0,1,1,1,1,0,Wood,4.882972919330174,0.0,1,0.0
